     V1  V2  V3  V4  V5  V6  V7  V8  V9  V10  V11  V12  V13  
    ----------------------------------------------------
A1 | -1   1   0   0   0   0   0   0   0   0   0   0   0  
A2 |  0  -1   1   0   0   0   0   0   0   0   0   0   0  
A3 |  1   0  -1   0   0   0   0   0   0   0   0   0   0  
A4 |  0   0  -1   1   0   0   0   0   0   0   0   0   0  
A5 |  0   0   0  -1   1   0   0   0   0   0   0   0   0  
A6 |  0   0   0   0  -1   1   0   0   0   0   0   0   0  
A7 |  0   0   0   0  -1   0   0   1   0   0   0   0   0  
A8 |  0   0   0   0   0  -1   1   0   0   0   0   0   0  
A9 |  0   0   0   0   0   1  -1   0   0   0   0   0   0  
A10 |  0   0   0   0   0   0  -1   0   1   0   0   0   0  
A11 |  0   0   0   1   0   0   0  -1   0   0   0   0   0  
A12 |  0   0   0   0   0   0   0  -1   0   1   0   0   0  
A13 |  0   0   0   0   0   0   0   1  -1   0   0   0   0  
A14 |  0   0   0   0   0   0   0   0   0   0  -1   1   0  
A15 |  0   0   0   0   0   0   0   0   0   0   0  -1   1  
A16 |  0   0   0   0   0   0   0   0   0   0   0   1  -1  
     V1  V2  V3  V4  V5  V6  V7  V8  V9  V10  V11  V12  V13  
    ----------------------------------------------------
A1 | -1   1   0   0   0   0   0   0   0   0   0   0   0  
A2 | -1   1   0   0   0   0   0   0   0   0   0   0   0  
A3 |  0  -1   1   0   0   0   0   0   0   0   0   0   0  
A4 |  1   0  -1   0   0   0   0   0   0   0   0   0   0  
A5 |  0   0  -1   1   0   0   0   0   0   0   0   0   0  
A6 |  0   0   0  -1   1   0   0   0   0   0   0   0   0  
A7 |  0   0   0   0  -1   1   0   0   0   0   0   0   0  
A8 |  0   0   0   0  -1   0   0   1   0   0   0   0   0  
A9 |  0   0   0   0   0  -1   1   0   0   0   0   0   0  
A10 |  0   0   0   0   0   1  -1   0   0   0   0   0   0  
A11 |  0   0   0   0   0   0  -1   0   1   0   0   0   0  
A12 |  0   0   0   1   0   0   0  -1   0   0   0   0   0  
A13 |  0   0   0   0   0   0   0  -1   0   1   0   0   0  
A14 |  0   0   0   0   0   0   0   1  -1   0   0   0   0  
A15 |  0   0   0   0   0   0   0   0   0  -1   0   1   0  
A16 |  0   0   0   0   0   0   0   0   0   0  -1   1   0  
A17 |  0   0   0   0   0   0   0   0   0   0   0  -1   1  
A18 |  0   0   0   0   0   0   0   0   0   0   0   1  -1  
